cluster	asv	Phylum	Class	Order	Family	Genus	OTU
C1	asv3	SAR324 clade(Marine group B)	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	asv3
C1	asv15	Verrucomicrobiota	Verrucomicrobiae	Arctic97B-4 marine group	Arctic97B-4 marine group uc	Arctic97B-4 marine group uc	asv15
C1	asv22	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv22
C1	asv25	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopumilus	asv25
C1	asv34	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv34
C1	asv40	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc	asv40
C1	asv48	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv48
C1	asv54	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopumilus	asv54
C1	asv65	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv65
C1	asv97	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv97
C1	asv106	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc	asv106
C1	asv110	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv110
C1	asv119	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II uc	Marine Group II uc	asv119
C1	asv121	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopumilus	asv121
C1	asv124	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II uc	Marine Group II uc	asv124
C1	asv128	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv128
C1	asv137	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv137
C1	asv142	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	asv142
C1	asv150	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	Clade III uc	asv150
C1	asv165	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	asv165
C1	asv168	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB	asv168
C1	asv185	Dadabacteria	Dadabacteriia	Dadabacteriales	Dadabacteriales uc	Dadabacteriales uc	asv185
C1	asv190	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	asv190
C1	asv196	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group uc	asv196
C1	asv200	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II uc	Marine Group II uc	asv200
