asv	TDN_c_mean	NH4_c_mean	lat	NO2_c_mean	NO3.NO2_c_mean	lon	PO4_c_mean	TDP_c_mean	Si.OH.4_c_mean
asv1	0.43	0.16	0.2	0.01	-0.16	0.07	0.31	0.4	0.27
asv2	0.41	0.19	0.16	-0.02	-0.15	0.07	0.23	0.31	0.17
asv3	0.54	0.32	0.24	0.17	-0.06	-0.12	0.16	0.19	0.01
asv6	0.37	0.13	0.18	0.05	-0.11	0.02	0.26	0.32	0.22
asv8	0.39	0.19	0.17	0.05	-0.1	0	0.2	0.26	0.13
asv10	0.6	0.25	0.34	0.27	-0.06	-0.16	0.35	0.4	0.23
asv15	0.42	0.24	0.19	0.13	-0.06	-0.08	0.14	0.17	0.03
asv16	0.28	0.06	0.09	-0.16	-0.2	0.21	0.29	0.39	0.31
asv18	0.33	0.16	0.11	-0.06	-0.14	0.1	0.18	0.25	0.13
asv21	0.42	0.18	0.19	0.03	-0.13	0.03	0.25	0.33	0.19
asv22	0.54	0.27	0.26	0.16	-0.09	-0.08	0.25	0.3	0.13
asv25	0.6	0.38	0.24	0.14	-0.1	-0.09	0.15	0.19	-0.01
asv34	0.46	0.29	0.21	0.17	-0.04	-0.12	0.12	0.14	-0.02
asv38	0.41	0.21	0.14	-0.07	-0.18	0.12	0.21	0.29	0.15
asv39	0.41	0.17	0.18	0.02	-0.14	0.05	0.26	0.33	0.21
asv40	0.32	0.18	0.17	0.17	0	-0.13	0.1	0.11	0.01
asv41	0.49	0.2	0.21	0.03	-0.16	0.05	0.3	0.39	0.24
asv44	0.39	0.12	0.24	0.16	-0.06	-0.07	0.3	0.36	0.25
asv46	0.21	-0.01	0.11	-0.08	-0.15	0.15	0.3	0.39	0.34
asv48	0.51	0.25	0.26	0.19	-0.06	-0.11	0.25	0.29	0.13
asv50	0.49	0.18	0.24	0.08	-0.13	0.01	0.33	0.41	0.27
asv51	0.15	-0.11	0.11	-0.1	-0.16	0.18	0.38	0.49	0.48
asv52	0.12	-0.09	0.15	0.1	-0.03	-0.02	0.29	0.34	0.34
asv53	0.44	0.2	0.2	0.08	-0.11	-0.01	0.24	0.31	0.17
asv54	0.55	0.38	0.24	0.23	-0.03	-0.18	0.1	0.1	-0.09
asv57	0.48	0.21	0.24	0.13	-0.09	-0.05	0.27	0.32	0.18
asv59	0.52	0.24	0.24	0.09	-0.13	-0.01	0.28	0.36	0.19
asv60	0.06	-0.13	0.09	-0.01	-0.07	0.08	0.29	0.36	0.37
asv61	0.57	0.28	0.26	0.12	-0.12	-0.04	0.28	0.35	0.17
asv65	0.59	0.41	0.25	0.22	-0.04	-0.17	0.1	0.11	-0.1
asv66	0.19	0	0.07	-0.15	-0.17	0.2	0.26	0.36	0.31
asv69	0.46	0.27	0.18	0.05	-0.11	-0.01	0.17	0.22	0.06
asv71	0.53	0.25	0.24	0.08	-0.14	0	0.29	0.36	0.19
asv73	0.12	-0.17	0.18	0.1	-0.05	0.01	0.41	0.48	0.49
asv75	0.3	0.03	0.14	-0.08	-0.18	0.16	0.35	0.46	0.38
asv77	0.3	-0.03	0.25	0.16	-0.06	-0.04	0.42	0.49	0.44
asv80	0.33	0.1	0.16	0.02	-0.12	0.05	0.27	0.34	0.24
asv83	0.55	0.33	0.21	0.07	-0.13	-0.02	0.18	0.24	0.05
asv90	0.11	-0.1	0.05	-0.19	-0.19	0.26	0.33	0.44	0.43
asv97	0.6	0.32	0.28	0.17	-0.1	-0.09	0.26	0.32	0.13
asv99	0.07	0.02	-0.07	-0.31	-0.21	0.31	0.09	0.18	0.15
asv106	0.59	0.38	0.28	0.29	-0.01	-0.23	0.12	0.12	-0.07
asv110	0.62	0.37	0.29	0.21	-0.08	-0.13	0.21	0.24	0.04
asv118	0.18	-0.08	0.14	-0.02	-0.12	0.11	0.37	0.46	0.43
asv119	0.44	0.3	0.23	0.3	0.05	-0.26	0.06	0.04	-0.11
asv121	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv122	0.58	0.29	0.28	0.15	-0.11	-0.06	0.29	0.35	0.17
asv124	0.55	0.35	0.23	0.15	-0.07	-0.1	0.14	0.17	-0.02
asv128	0.62	0.33	0.34	0.34	-0.01	-0.24	0.25	0.27	0.08
asv134	0.49	0.25	0.19	0.01	-0.16	0.05	0.24	0.32	0.16
asv137	0.52	0.25	0.26	0.16	-0.08	-0.08	0.25	0.3	0.14
asv138	0.49	0.24	0.23	0.11	-0.1	-0.03	0.25	0.31	0.15
asv142	0.58	0.37	0.24	0.15	-0.09	-0.1	0.14	0.18	-0.03
asv144	0.4	0.16	0.18	0.03	-0.13	0.04	0.26	0.33	0.21
asv150	0.61	0.33	0.28	0.17	-0.1	-0.09	0.25	0.3	0.1
asv158	0.45	0.18	0.19	0	-0.16	0.08	0.29	0.38	0.24
asv160	0.34	0.16	0.09	-0.14	-0.2	0.18	0.21	0.3	0.18
