"Cluster","EnvFactor","MeanCorrelation","Rank"
1,"TDN_c_mean",0.586189242988463,1
1,"NH4_c_mean",0.368307056097688,2
1,"NO2_c_mean",0.289947184302651,3
1,"lat",0.288851545415216,4
1,"lon",-0.225967999252704,5
1,"TDP_c_mean",0.150519952612864,6
1,"PO4_c_mean",0.144662170200504,7
1,"Si(OH)4_c_mean",-0.0436440775044606,8
1,"NO3+NO2_c_mean",-0.00915226385024737,9
2,"TDN_c_mean",0.486686146336333,1
2,"NH4_c_mean",0.291956688912287,2
2,"TDP_c_mean",0.216478872579995,3
2,"lat",0.183719652714762,4
2,"PO4_c_mean",0.162623533332056,5
2,"NO3+NO2_c_mean",-0.121014099157364,6
2,"NO2_c_mean",0.0489022588316125,7
2,"Si(OH)4_c_mean",0.0475532600398634,8
2,"lon",-0.00203212359831541,9
3,"TDN_c_mean",0.332938276375031,1
3,"TDP_c_mean",0.237220926425708,2
3,"NH4_c_mean",0.179192986353897,3
3,"NO3+NO2_c_mean",-0.172370119335374,4
3,"PO4_c_mean",0.159688749006568,5
3,"lon",0.14449517999708,6
3,"Si(OH)4_c_mean",0.117892871622117,7
3,"NO2_c_mean",-0.113345866188572,8
3,"lat",0.0870546161039058,9
4,"TDN_c_mean",0.458778163552165,1
4,"TDP_c_mean",0.354235804565959,2
4,"PO4_c_mean",0.279750876851785,3
4,"Si(OH)4_c_mean",0.212588513630519,4
4,"lat",0.210286362178024,5
4,"NH4_c_mean",0.195574293832575,6
4,"NO3+NO2_c_mean",-0.131786721635148,7
4,"NO2_c_mean",0.0542290021470377,8
4,"lon",0.0214134594534837,9
5,"TDN_c_mean",0.459889794321548,1
5,"TDP_c_mean",0.383416973803863,2
5,"PO4_c_mean",0.332483171955366,3
5,"lat",0.282068115012341,4
5,"Si(OH)4_c_mean",0.259802505444151,5
5,"NO2_c_mean",0.216588289916208,6
5,"NH4_c_mean",0.152692285846951,7
5,"lon",-0.114071184323308,8
5,"NO3+NO2_c_mean",-0.0516442323775769,9
6,"Si(OH)4_c_mean",0.436209990179559,1
6,"TDP_c_mean",0.426826151902585,2
6,"PO4_c_mean",0.3688245133289,3
6,"lat",0.170370581806994,4
6,"NH4_c_mean",-0.139707441320997,5
6,"TDN_c_mean",0.120862079566096,6
6,"NO2_c_mean",0.113784989215844,7
6,"NO3+NO2_c_mean",-0.0315820400204482,8
6,"lon",-0.0134695114421078,9
7,"NO2_c_mean",-0.354718727622729,1
7,"lon",0.345062152447596,2
7,"NO3+NO2_c_mean",-0.213006032091162,3
7,"TDP_c_mean",0.178854237266551,4
7,"Si(OH)4_c_mean",0.162431927574674,5
7,"lat",-0.0996832484394238,6
7,"PO4_c_mean",0.0862192098732646,7
7,"NH4_c_mean",-0.0238533543682713,8
7,"TDN_c_mean",0.00794136896689933,9
8,"TDP_c_mean",0.402228376075915,1
8,"Si(OH)4_c_mean",0.355692738428132,2
8,"PO4_c_mean",0.303770544509693,3
8,"TDN_c_mean",0.198623606629739,4
8,"lon",0.181417721762188,5
8,"NO3+NO2_c_mean",-0.166347514855162,6
8,"NO2_c_mean",-0.116333879921676,7
8,"lat",0.0912154688418726,8
8,"NH4_c_mean",-0.0202811405547209,9
