asv	cluster
asv121	C1
asv209	C1
asv320	C1
asv344	C1
asv441	C1
asv461	C1
asv527	C1
asv852	C1
asv966	C1
asv1000	C1
asv1132	C1
asv1380	C1
asv1426	C1
asv1576	C1
asv1622	C1
asv1826	C1
asv2401	C1
asv2490	C1
asv2626	C1
asv2643	C1
asv2880	C1
asv3162	C1
asv3966	C1
asv4276	C1
asv5302	C1
asv5454	C1
asv5900	C1
asv6040	C1
asv6142	C1
asv6362	C1
asv6826	C1
asv10666	C1
asv11493	C1
asv12129	C1
asv14039	C1
asv14040	C1
asv438	C1
asv2328	C1
asv1546	C1
asv5440	C1
asv119	C1
asv1296	C1
asv165	C1
asv1313	C1
asv3762	C1
asv3313	C1
asv5342	C1
asv1063	C1
asv436	C1
asv2373	C1
asv400	C1
asv395	C1
asv3763	C1
asv1206	C1
asv469	C1
asv656	C1
asv3416	C1
asv3871	C1
asv106	C1
asv276	C1
asv2001	C1
asv820	C1
asv7150	C1
asv1847	C1
asv676	C1
asv1122	C1
asv1223	C1
asv6254	C1
asv2659	C1
asv6113	C1
asv1458	C1
asv8484	C1
asv190	C1
asv658	C1
asv1763	C1
asv3029	C1
asv40	C1
asv1609	C1
asv1317	C1
asv5582	C1
asv4614	C1
asv54	C1
asv439	C1
asv2150	C1
asv787	C1
asv65	C1
asv1787	C1
asv2030	C1
asv4995	C1
asv200	C1
asv5156	C1
asv2648	C1
asv1360	C1
asv5058	C1
asv560	C1
asv3793	C1
asv590	C1
asv34	C1
asv2874	C1
asv330	C1
asv110	C1
asv650	C1
asv185	C1
asv15	C1
asv3	C1
asv142	C1
asv124	C1
asv25	C1
asv168	C1
asv1550	C1
asv1724	C1
asv404	C1
asv1102	C1
asv2763	C1
asv233	C1
asv691	C1
asv1487	C1
asv3975	C1
asv4633	C1
asv3836	C1
asv854	C1
asv750	C1
asv97	C1
asv196	C1
asv150	C1
asv476	C1
asv3124	C1
asv22	C1
asv1369	C1
asv137	C1
asv216	C1
asv48	C1
asv1753	C1
asv965	C1
asv3766	C1
asv1005	C1
asv1858	C1
asv6545	C1
asv1367	C1
asv1399	C1
asv3828	C1
asv5372	C1
asv878	C1
asv3896	C1
asv128	C1
asv3832	C1
asv1536	C1
asv758	C2
asv1159	C2
asv1009	C2
asv930	C2
asv1901	C2
asv982	C2
asv2177	C2
asv240	C2
asv69	C2
asv492	C2
asv881	C2
asv813	C2
asv83	C2
asv2040	C2
asv683	C2
asv3474	C2
asv1617	C2
asv484	C2
asv845	C2
asv254	C2
asv2307	C2
asv346	C2
asv1370	C3
asv396	C3
asv425	C3
asv1372	C3
asv561	C3
asv4398	C3
asv896	C3
asv1952	C3
asv536	C3
asv38	C3
asv18	C3
asv160	C3
asv2378	C3
asv1343	C3
asv765	C3
asv3578	C4
asv170	C4
asv1603	C4
asv144	C4
asv41	C4
asv4785	C4
asv39	C4
asv593	C4
asv244	C4
asv21	C4
asv729	C4
asv983	C4
asv703	C4
asv505	C4
asv533	C4
asv510	C4
asv158	C4
asv3792	C4
asv1361	C4
asv1683	C4
asv378	C4
asv1	C4
asv857	C4
asv1645	C4
asv411	C4
asv1555	C4
asv638	C4
asv3543	C4
asv134	C4
asv2389	C4
asv1019	C4
asv824	C4
asv2	C4
asv843	C4
asv630	C4
asv172	C4
asv224	C4
asv610	C4
asv318	C4
asv736	C4
asv80	C4
asv1336	C4
asv766	C4
asv485	C4
asv648	C4
asv50	C4
asv947	C4
asv1456	C4
asv1765	C4
asv398	C4
asv1464	C4
asv1486	C4
asv332	C4
asv923	C4
asv3604	C4
asv475	C4
asv6	C4
asv231	C4
asv1662	C4
asv2173	C4
asv688	C4
asv567	C4
asv999	C4
asv4232	C4
asv251	C4
asv1450	C4
asv2207	C4
asv265	C4
asv8	C4
asv59	C4
asv53	C4
asv71	C4
asv1382	C4
asv516	C4
asv1472	C4
asv2831	C4
asv2408	C4
asv3106	C4
asv1309	C4
asv183	C4
asv453	C4
asv4561	C4
asv639	C4
asv992	C4
asv2359	C4
asv297	C4
asv61	C4
asv138	C4
asv303	C4
asv122	C4
asv2132	C4
asv1177	C4
asv202	C4
asv540	C4
asv1125	C4
asv57	C4
asv473	C4
asv627	C4
asv3297	C4
asv900	C4
asv1243	C5
asv10	C5
asv2165	C5
asv807	C5
asv409	C5
asv4466	C5
asv972	C5
asv4293	C5
asv1010	C5
asv460	C5
asv412	C5
asv327	C5
asv9578	C5
asv876	C5
asv5468	C5
asv5547	C5
asv246	C5
asv1497	C5
asv44	C5
asv4249	C5
asv1304	C5
asv2670	C5
asv77	C5
asv2604	C5
asv4949	C6
asv2159	C6
asv232	C6
asv1553	C6
asv3028	C6
asv1155	C6
asv1902	C6
asv6101	C6
asv60	C6
asv1871	C6
asv503	C6
asv803	C6
asv903	C6
asv657	C6
asv1962	C6
asv2515	C6
asv3323	C6
asv52	C6
asv6329	C6
asv4396	C6
asv2945	C6
asv1085	C6
asv1057	C6
asv8941	C6
asv2474	C6
asv7737	C6
asv4596	C6
asv73	C6
asv3639	C6
asv6909	C6
asv479	C6
asv180	C6
asv9121	C6
asv4934	C6
asv3113	C6
asv14074	C6
asv14073	C6
asv14072	C6
asv14071	C6
asv12950	C6
asv12158	C6
asv11029	C6
asv10535	C6
asv9064	C6
asv8950	C6
asv7275	C6
asv6412	C6
asv5784	C6
asv5652	C6
asv3586	C6
asv2989	C6
asv2961	C6
asv2300	C6
asv390	C6
asv1098	C6
asv4549	C7
asv763	C7
asv4645	C7
asv3089	C7
asv595	C7
asv2153	C7
asv3663	C7
asv1115	C7
asv1757	C7
asv5745	C7
asv963	C7
asv5432	C7
asv1220	C7
asv99	C7
asv705	C7
asv3411	C7
asv3035	C7
asv1275	C7
asv704	C8
asv454	C8
asv2388	C8
asv1295	C8
asv1587	C8
asv169	C8
asv1665	C8
asv562	C8
asv255	C8
asv1971	C8
asv16	C8
asv1644	C8
asv75	C8
asv927	C8
asv2321	C8
asv2933	C8
asv46	C8
asv289	C8
asv545	C8
asv3774	C8
asv5377	C8
asv401	C8
asv118	C8
asv961	C8
asv66	C8
asv2291	C8
asv4955	C8
asv521	C8
asv661	C8
asv463	C8
asv90	C8
asv784	C8
asv1656	C8
asv51	C8
asv3301	C8
asv1916	C8
asv424	C8
asv482	C8
asv6516	C8
asv7571	C8
asv2226	C8
asv3453	C8
