cluster	asv	Phylum	Class	Order	Family	Genus	OTU
C1	asv875	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group uc	asv875
C1	asv1828	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	asv1828
C1	asv1917	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv1917
C1	asv2867	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade uc	SAR202 clade uc	asv2867
C1	asv2918	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41 uc	WCHB1-41 uc	asv2918
C1	asv2927	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group uc	asv2927
C1	asv3112	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv3112
C1	asv3195	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05 cluster	asv3195
C1	asv3226	Planctomycetota	028H05-P-BN-P5	028H05-P-BN-P5 uc	028H05-P-BN-P5 uc	028H05-P-BN-P5 uc	asv3226
C1	asv3248	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB	asv3248
C1	asv3457	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv3457
C1	asv3539	Desulfobacterota	Desulfuromonadia	Bradymonadales	Bradymonadales uc	Bradymonadales uc	asv3539
C1	asv3609	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv3609
C1	asv3748	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv3748
C1	asv4317	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv4317
C1	asv4715	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66 uc	JG30-KF-CM66 uc	JG30-KF-CM66 uc	asv4715
C2	asv8	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopumilus	asv8
C2	asv12	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05 cluster	asv12
C2	asv33	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv33
C2	asv34	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv34
C2	asv54	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopumilus	asv54
C2	asv61	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv61
C2	asv80	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv80
C2	asv89	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv89
C2	asv104	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	asv104
C2	asv107	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	asv107
C2	asv112	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	asv112
C2	asv176	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	asv176
C2	asv205	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv205
C2	asv260	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv260
C2	asv283	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	asv283
C2	asv302	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv302
C2	asv316	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae uc	asv316
C2	asv340	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	asv340
C2	asv367	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv367
C2	asv374	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc	asv374
C2	asv390	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv390
C2	asv426	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopumilus	asv426
C2	asv442	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade uc	SAR202 clade uc	asv442
C2	asv502	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopelagicus	asv502
C2	asv507	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv507
C2	asv542	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv542
C2	asv549	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade uc	SAR202 clade uc	asv549
C2	asv559	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv559
C2	asv589	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv589
C2	asv605	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv605
C2	asv609	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv609
C2	asv615	Planctomycetota	OM190	OM190 uc	OM190 uc	OM190 uc	asv615
C2	asv624	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv624
C2	asv669	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv669
C2	asv708	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopelagicus	asv708
C2	asv723	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv723
C2	asv727	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02 marine group	asv727
C2	asv742	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv742
C2	asv744	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopelagicus	asv744
C2	asv756	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv756
