asv	NH4_c_mean	NO2_c_mean	lat	Si.OH.4_c_mean	lon	Fix_Temp_C	Sal00	TDN_c_mean	PO4_c_mean	TDP_c_mean	NO3.NO2_c_mean
asv3	-0.21	-0.1	-0.05	0.49	0	0.32	0.36	0.52	0.51	0.5	0.55
asv4	-0.24	-0.1	-0.06	0.26	0	0.57	0.34	0.5	0.47	0.47	0.51
asv8	-0.21	-0.08	0	0.14	0	0.57	0.27	0.41	0.39	0.39	0.42
asv12	-0.2	-0.09	-0.15	0.12	0.02	0.64	0.3	0.42	0.39	0.39	0.42
asv15	-0.28	-0.12	-0.06	0.43	0	0.59	0.43	0.62	0.6	0.59	0.65
asv17	-0.11	-0.06	-0.03	0.46	-0.01	0.01	0.23	0.33	0.33	0.32	0.36
asv26	-0.11	-0.07	-0.05	0.46	0	0.04	0.24	0.34	0.35	0.34	0.37
asv29	-0.16	-0.09	-0.09	0.46	0	0.21	0.31	0.44	0.43	0.42	0.46
asv31	-0.11	-0.07	-0.04	0.46	0	0.03	0.24	0.34	0.34	0.33	0.36
asv33	-0.24	-0.09	-0.03	0.22	0	0.6	0.33	0.49	0.46	0.46	0.5
asv34	-0.23	-0.08	-0.01	0.19	0	0.57	0.3	0.45	0.42	0.42	0.46
asv35	-0.13	-0.07	-0.07	0.47	0	0.09	0.27	0.37	0.37	0.36	0.4
asv42	-0.14	-0.07	0.01	0.5	-0.01	0.06	0.27	0.39	0.39	0.38	0.42
asv43	-0.12	-0.06	-0.01	0.46	-0.01	0.01	0.23	0.34	0.34	0.33	0.36
asv54	-0.21	-0.08	-0.02	0.11	0	0.59	0.27	0.4	0.38	0.38	0.41
asv55	-0.22	-0.11	-0.13	0.43	0.01	0.45	0.38	0.53	0.51	0.51	0.56
asv56	-0.22	-0.1	-0.03	0.48	-0.01	0.34	0.36	0.53	0.52	0.51	0.56
asv61	-0.25	-0.1	-0.09	0.14	0.01	0.72	0.34	0.48	0.45	0.45	0.49
asv70	-0.13	-0.07	-0.08	0.46	0	0.1	0.27	0.37	0.37	0.36	0.39
asv74	-0.13	-0.08	-0.1	0.44	0	0.13	0.27	0.37	0.37	0.36	0.4
asv80	-0.26	-0.1	-0.09	0.18	0.01	0.74	0.36	0.52	0.49	0.49	0.53
asv82	-0.1	-0.06	-0.04	0.45	0	0.01	0.23	0.32	0.32	0.31	0.34
asv84	-0.17	-0.09	-0.09	0.47	0	0.24	0.32	0.46	0.45	0.44	0.48
asv88	-0.13	-0.08	-0.09	0.46	0	0.12	0.28	0.38	0.38	0.37	0.41
asv89	-0.23	-0.09	-0.07	0.21	0	0.6	0.33	0.47	0.45	0.45	0.48
asv98	-0.26	-0.11	-0.05	0.33	0	0.6	0.39	0.56	0.54	0.53	0.58
asv100	-0.25	-0.11	-0.11	0.34	0.01	0.59	0.39	0.56	0.53	0.53	0.58
asv103	-0.12	-0.07	-0.06	0.46	0	0.06	0.25	0.35	0.35	0.34	0.38
asv104	-0.19	-0.07	-0.05	0.09	0	0.57	0.25	0.37	0.34	0.34	0.37
asv105	-0.13	-0.08	-0.08	0.45	0	0.13	0.27	0.38	0.37	0.36	0.4
asv107	-0.24	-0.09	-0.05	0.14	0	0.68	0.32	0.47	0.44	0.44	0.48
asv108	-0.26	-0.1	-0.03	0.33	0	0.57	0.37	0.55	0.52	0.52	0.57
asv112	-0.22	-0.09	-0.11	0.17	0.01	0.64	0.33	0.46	0.43	0.43	0.47
asv126	-0.25	-0.11	-0.01	0.5	-0.01	0.41	0.4	0.58	0.57	0.56	0.61
asv129	-0.2	-0.1	-0.07	0.47	0	0.32	0.35	0.5	0.49	0.48	0.53
asv130	-0.12	-0.07	-0.09	0.45	0	0.09	0.26	0.36	0.36	0.35	0.39
asv136	-0.12	-0.07	-0.05	0.46	0	0.07	0.26	0.36	0.36	0.35	0.39
asv141	-0.1	-0.07	-0.09	0.42	0	0.05	0.23	0.32	0.32	0.31	0.34
asv145	-0.21	-0.1	-0.02	0.53	-0.01	0.27	0.36	0.53	0.52	0.51	0.56
