"Cluster","depth_category","MeanAbundance","TotalAbundance","RelativeAbundance"
8,"20m from bottom",293.29,3510.3,0.0836
8,"bottom",280.18,3510.3,0.0798
6,"1000",256.26,3510.3,0.073
8,"5m from bottom",245.85,3510.3,0.07
6,"1500",216.82,3510.3,0.0618
6,"200",204.64,3510.3,0.0583
6,"500",172.72,3510.3,0.0492
8,"1500",157.83,3510.3,0.045
6,"100",150.19,3510.3,0.0428
8,"3000",144.78,3510.3,0.0412
5,"1500",136.99,3510.3,0.039
8,"2000",95.93,3510.3,0.0273
5,"1000",82.24,3510.3,0.0234
6,"2000",80.93,3510.3,0.0231
8,"1000",79.96,3510.3,0.0228
2,"1500",63.18,3510.3,0.018
5,"2000",57.44,3510.3,0.0164
4,"1500",38.31,3510.3,0.0109
6,"50",38.27,3510.3,0.0109
2,"2000",37.73,3510.3,0.0107
6,"bottom",33.58,3510.3,0.0096
5,"bottom",33.25,3510.3,0.0095
8,"500",32.05,3510.3,0.0091
3,"1500",30.82,3510.3,0.0088
7,"1500",30.56,3510.3,0.0087
5,"500",26.44,3510.3,0.0075
2,"1000",23.89,3510.3,0.0068
6,"3000",23.16,3510.3,0.0066
8,"100",22.03,3510.3,0.0063
8,"200",22.15,3510.3,0.0063
5,"200",21.48,3510.3,0.0061
5,"3000",21.27,3510.3,0.0061
4,"1000",19.6,3510.3,0.0056
7,"bottom",19.28,3510.3,0.0055
7,"20m from bottom",17.11,3510.3,0.0049
3,"2000",16.63,3510.3,0.0047
5,"20m from bottom",16.11,3510.3,0.0046
8,"50",15.62,3510.3,0.0044
6,"20m from bottom",15.25,3510.3,0.0043
7,"2000",14.99,3510.3,0.0043
4,"2000",14.29,3510.3,0.0041
5,"5m from bottom",14.43,3510.3,0.0041
6,"5m from bottom",13.94,3510.3,0.004
7,"5m from bottom",12.99,3510.3,0.0037
7,"3000",12.6,3510.3,0.0036
3,"bottom",12.27,3510.3,0.0035
2,"3000",10.08,3510.3,0.0029
3,"20m from bottom",10.14,3510.3,0.0029
5,"100",10.16,3510.3,0.0029
3,"3000",9.93,3510.3,0.0028
2,"bottom",9,3510.3,0.0026
6,"2",8.77,3510.3,0.0025
3,"5m from bottom",7.31,3510.3,0.0021
7,"1000",7.27,3510.3,0.0021
2,"200",7,3510.3,0.002
3,"1000",6.72,3510.3,0.0019
2,"20m from bottom",5.8,3510.3,0.0017
2,"500",5.04,3510.3,0.0014
6,"chl-max",4.91,3510.3,0.0014
2,"5m from bottom",4.7,3510.3,0.0013
1,"1500",2.94,3510.3,0.0008
4,"500",2.6,3510.3,0.0007
8,"chl-max",2.54,3510.3,0.0007
1,"1000",2.23,3510.3,0.0006
6,"10",1.94,3510.3,0.0006
1,"2000",1.77,3510.3,0.0005
4,"200",1.67,3510.3,0.0005
5,"50",1.68,3510.3,0.0005
8,"2",1.67,3510.3,0.0005
1,"100",1.25,3510.3,0.0004
4,"3000",1.56,3510.3,0.0004
4,"bottom",1.25,3510.3,0.0004
2,"100",1.19,3510.3,0.0003
5,"2",0.94,3510.3,0.0003
1,"2",0.83,3510.3,0.0002
4,"100",0.79,3510.3,0.0002
4,"20m from bottom",0.69,3510.3,0.0002
4,"5m from bottom",0.83,3510.3,0.0002
6,"Ice-BS",0.6,3510.3,0.0002
6,"UIW",0.58,3510.3,0.0002
8,"10",0.87,3510.3,0.0002
1,"50",0.26,3510.3,0.0001
1,"200",0.3,3510.3,0.0001
1,"500",0.32,3510.3,0.0001
1,"3000",0.25,3510.3,0.0001
1,"5m from bottom",0.28,3510.3,0.0001
2,"2",0.2,3510.3,0.0001
5,"chl-max",0.36,3510.3,0.0001
7,"500",0.25,3510.3,0.0001
8,"Ice-BS",0.31,3510.3,0.0001
1,"MP",0,3510.3,0
1,"Ice-TS",0,3510.3,0
1,"Ice-BS",0,3510.3,0
1,"UIW",0,3510.3,0
1,"10",0,3510.3,0
1,"chl-max",0.14,3510.3,0
1,"20m from bottom",0.06,3510.3,0
1,"bottom",0,3510.3,0
2,"MP",0,3510.3,0
2,"Ice-TS",0.02,3510.3,0
2,"Ice-BS",0,3510.3,0
2,"UIW",0,3510.3,0
2,"10",0,3510.3,0
2,"chl-max",0,3510.3,0
2,"50",0.08,3510.3,0
3,"MP",0,3510.3,0
3,"Ice-TS",0,3510.3,0
3,"Ice-BS",0,3510.3,0
3,"UIW",0,3510.3,0
3,"2",0.01,3510.3,0
3,"10",0,3510.3,0
3,"chl-max",0,3510.3,0
3,"50",0.06,3510.3,0
3,"100",0.02,3510.3,0
3,"200",0,3510.3,0
3,"500",0,3510.3,0
4,"MP",0,3510.3,0
4,"Ice-TS",0,3510.3,0
4,"Ice-BS",0,3510.3,0
4,"UIW",0,3510.3,0
4,"2",0.06,3510.3,0
4,"10",0,3510.3,0
4,"chl-max",0,3510.3,0
4,"50",0,3510.3,0
5,"MP",0,3510.3,0
5,"Ice-TS",0,3510.3,0
5,"Ice-BS",0.16,3510.3,0
5,"UIW",0.05,3510.3,0
5,"10",0.13,3510.3,0
6,"MP",0.1,3510.3,0
6,"Ice-TS",0.03,3510.3,0
7,"MP",0,3510.3,0
7,"Ice-TS",0,3510.3,0
7,"Ice-BS",0,3510.3,0
7,"UIW",0,3510.3,0
7,"2",0.03,3510.3,0
7,"10",0,3510.3,0
7,"chl-max",0,3510.3,0
7,"50",0.09,3510.3,0
7,"100",0.02,3510.3,0
7,"200",0.04,3510.3,0
8,"MP",0.01,3510.3,0
8,"Ice-TS",0.01,3510.3,0
8,"UIW",0.07,3510.3,0
