"Cluster","EnvFactor","MeanCorrelation","Rank"
1,"lat",-0.263491635082356,1
1,"Si(OH)4_c_mean",-0.11331131720363,2
1,"NO3+NO2_c_mean",-0.024999564080657,3
1,"lon",0.0209335537248571,4
1,"PO4_c_mean",-0.0198122232037602,5
1,"TDP_c_mean",-0.0160862237433261,6
1,"NO2_c_mean",-0.0147568423125282,7
1,"TDN_c_mean",-0.0124685410193117,8
1,"NH4_c_mean",-0.0107081454886694,9
2,"lat",-0.294843545201209,1
2,"TDN_c_mean",0.0337908149503384,2
2,"TDP_c_mean",0.0301989172134106,3
2,"Si(OH)4_c_mean",-0.0284738950327709,4
2,"PO4_c_mean",0.0280809476963396,5
2,"NO3+NO2_c_mean",0.0253309060897591,6
2,"NO2_c_mean",-0.0253172114258761,7
2,"lon",0.0230062167585695,8
2,"NH4_c_mean",-0.0218705438248535,9
3,"lat",-0.234941575021427,1
3,"Si(OH)4_c_mean",0.162374146527121,2
3,"NO3+NO2_c_mean",0.128232300894903,3
3,"TDN_c_mean",0.124450850105624,4
3,"PO4_c_mean",0.123992368487075,5
3,"TDP_c_mean",0.121868343271948,6
3,"NH4_c_mean",-0.040443916110631,7
3,"NO2_c_mean",-0.0381448015083168,8
3,"lon",0.0174099740224634,9
4,"lat",-0.254985072090836,1
4,"TDN_c_mean",0.113536061332979,2
4,"NO3+NO2_c_mean",0.108172834439999,3
4,"TDP_c_mean",0.105118609068362,4
4,"PO4_c_mean",0.10335886423174,5
4,"NH4_c_mean",-0.0627988830293777,6
4,"NO2_c_mean",-0.0373128271549903,7
4,"lon",0.0185197720770233,8
4,"Si(OH)4_c_mean",0.00107274458406611,9
5,"NO3+NO2_c_mean",0.236798884885084,1
5,"TDN_c_mean",0.234388778067464,2
5,"PO4_c_mean",0.22183370442842,3
5,"TDP_c_mean",0.221501796245606,4
5,"lat",-0.217734027318444,5
5,"Si(OH)4_c_mean",0.114354440812198,6
5,"NH4_c_mean",-0.112382149031054,7
5,"NO2_c_mean",-0.0570580060108931,8
5,"lon",0.0138791413985338,9
6,"NO3+NO2_c_mean",0.502928803197888,1
6,"TDN_c_mean",0.490483693324719,2
6,"PO4_c_mean",0.463554938359253,3
6,"TDP_c_mean",0.462067985248716,4
6,"NH4_c_mean",-0.24399401132006,5
6,"Si(OH)4_c_mean",0.20853028385126,6
6,"NO2_c_mean",-0.0952382521760867,7
6,"lat",-0.0844724524680307,8
6,"lon",-0.000954967437761633,9
7,"Si(OH)4_c_mean",0.283901392185396,1
7,"NO3+NO2_c_mean",0.234130683289702,2
7,"TDN_c_mean",0.221656561844587,3
7,"PO4_c_mean",0.221396173058708,4
7,"TDP_c_mean",0.216720498162446,5
7,"lat",-0.171201769127889,6
7,"NH4_c_mean",-0.0751963643774407,7
7,"NO2_c_mean",-0.0518569202649957,8
7,"lon",0.0110905388729508,9
8,"Si(OH)4_c_mean",0.455385848177694,1
8,"NO3+NO2_c_mean",0.40223405743991,2
8,"TDN_c_mean",0.376900136327408,3
8,"PO4_c_mean",0.375505939721737,4
8,"TDP_c_mean",0.367267238278707,5
8,"NH4_c_mean",-0.134801174965407,6
8,"NO2_c_mean",-0.0732569940228448,7
8,"lat",-0.0620374323727533,8
8,"lon",0.000307675652680693,9
