running ID,Niskin_Id,grouping_col,Event,Latitude,Longitude,Bottle,Date,Potemp090C,Potemp190C,PrDM,DepSM,T090C,T190C,Sal00,Sal11,Sbeox0_umol/L,Sbeox1_umol/L,FlECO-AFL,Spalte1,Depth_(m),Fix_Temp_C,C(O2)_umol/L,Flag,Fix_Temp_C_dup,C(O2)_umol/L_dup,Flag_dup,NO3+NO2_mean,QF,NO3+NO2_std,QF.1,NO3+NO2_CF,QF.2,NO3+NO2_c_mean,QF.3,NO3+NO2_c_std,QF.4,NO2_mean,QF.5,NO2_std,QF.6,NO2_CF,QF.7,NO2_c_mean,QF.8,NO2_c_std,QF.9,Si(OH)4_mean,QF.10,Si(OH)4_std,QF.11,Si(OH)4_CF,QF.12,Si(OH)4_c_mean,QF.13,Si(OH)4_c_std,QF.14,PO4_mean,QF.15,PO4_std,QF.16,PO4_CF,QF.17,PO4_c_mean,QF.18,PO4_c_std,QF.19,NH4_mean,QF.20,NH4_std,QF.21,NH4_CF,QF.22,NH4_c_mean,QF.23,NH4_c_std,QF.24,TDN_mean,QF.25,TDN_std,QF.26,TDN_CF,QF.27,TDN_c_mean,QF.28,TDN_c_std,QF.29,TDP_mean,QF.30,TDP_std,QF.31,TDP_CF,QF.32,TDP_c_mean,QF.33,TDP_c_std,QF.34,Density_at_lab_temp,Density_Anomaly_at_lab_temp,Density_at_fix_temp,NO3+NO2_c_mean_umolkg,NO3+NO2_c_std_umolkg,NO2_c_mean_umolkg,NO2_c_std_umolkg,Si(OH)4_c_mean_umolkg,Si(OH)4_c_std_umolkg,PO4_c_mean_umolkg,PO4_c_std_umolkg,NH4_c_mean_umolkg,NH4_c_std_umolkg,TDN_c_mean_umolkg,TDN_c_std_umolkg,TDP_c_mean_umolkg,TDP_c_std_umolkg,C(O2)_umol/L_umolkg
1,PS138_2-1-N1,PS138_2-1_1700,PS138_2-1,80.948096,15.35065,1,Aug 06 2023,-0.7447,-0.744,1724.933,1699.611,-0.6659,-0.6652,34.9182,34.9187,291.84,299.67,-0.0543,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.007254,1.025007254,,,,,,,,,,,,,,,,
2,PS138_2-1-N2,PS138_2-1_1700,PS138_2-1,80.948096,15.35065,2,Aug 06 2023,-0.7444,-0.7441,1724.962,1699.639,-0.6656,-0.6653,34.9182,34.9187,292.68,300.15,-0.0543,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.007254,1.025007254,,,,,,,,,,,,,,,,
3,PS138_2-1-N3,PS138_2-1_1000,PS138_2-1,80.948096,15.35065,3,Aug 06 2023,-0.3654,-0.3651,1013.232,1000.043,-0.3227,-0.3224,34.9104,34.911,298.96,305.64,-0.0583,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.001268,1.025001268,,,,,,,,,,,,,,,,
4,PS138_2-1-N4,PS138_2-1_100,PS138_2-1,80.948096,15.35065,4,Aug 06 2023,-0.365,-0.3642,1013.229,1000.04,-0.3223,-0.3215,34.9104,34.9111,299.46,306.22,-0.0549,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.001268,1.025001268,,,,,,,,,,,,,,,,
5,PS138_2-1-N5,PS138_2-1_1000,PS138_2-1,80.948096,15.35065,5,Aug 06 2023,-0.3637,-0.3656,1013.217,1000.028,-0.321,-0.323,34.9106,34.9108,299.35,306.05,-0.056,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.001421,1.025001421,,,,,,,,,,,,,,,,
6,PS138_2-1-N6,PS138_2-1_400,PS138_2-1,80.948096,15.35065,6,Aug 06 2023,2.1289,2.1297,404.99,400.301,2.152,2.1528,34.9569,34.9584,312.6,319.77,-0.0543,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.036958,1.025036958,,,,,,,,,,,,,,,,
7,PS138_2-1-N7,PS138_2-1_400,PS138_2-1,80.948096,15.35065,7,Aug 06 2023,2.1292,2.1252,405.031,400.341,2.1524,2.1483,34.9573,34.9595,313.88,319.42,-0.04,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.037265,1.025037265,,,,,,,,,,,,,,,,
8,PS138_2-1-N8,PS138_2-1_251,PS138_2-1,80.948096,15.35065,8,Aug 06 2023,2.7376,2.737,253.63,250.786,2.753,2.7524,34.9794,34.9798,313.49,317.65,-0.0543,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.054228,1.025054228,,,,,,,,,,,,,,,,
9,PS138_2-1-N9,PS138_2-1_251,PS138_2-1,80.948096,15.35065,9,Aug 06 2023,2.7386,2.7345,253.662,250.817,2.7541,2.7499,34.979,34.9807,313.4,318.42,-0.0543,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.053921,1.025053921,,,,,,,,,,,,,,,,
10,PS138_2-1-N10,PS138_2-1_150,PS138_2-1,80.948096,15.35065,10,Aug 06 2023,3.1235,3.1222,151.754,150.088,3.133,3.1318,34.9681,34.9691,307.4,312.33,-0.0273,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.045554,1.025045554,,,,,,,,,,,,,,,,
